ID	age	sex	culture	age_m	longitudinal	adult	condition	conc	concern.exp	pat	hug	kiss	object	verbal	comf	cue2	hypoth	conc9prop
UG48	18	M	Uganda	18	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG48	18	M	Uganda	18	N	Mother	experimental	Y	0.145133799	Y	N	N	N	N	Y	After	N	NA
UG49	18	F	Uganda	17	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG49	18	F	Uganda	17	Y	Mother	experimental	N	0	N	Y	N	N	N	Y	After	Y	0
UG52	18	F	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG52	18	F	Uganda	18	Y	Mother	experimental	Y	0.005876056	N	Y	N	N	N	Y	After	Y	0
UG54	18	M	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG54	18	M	Uganda	18	Y	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	0.151976462
UG55	18	M	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG55	18	M	Uganda	18	Y	Mother	experimental	Y	0.429521698	N	N	N	N	N	N	NA	Y	0.280133333
UG56	18	M	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG56	18	M	Uganda	18	Y	Mother	experimental	Y	0.127172661	N	N	N	Y	N	Y	Before	N	0
UG59	18	F	Uganda	17	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG59	18	F	Uganda	17	Y	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	0
UG60	18	F	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	Y	NA
UG60	18	F	Uganda	18	Y	Mother	experimental	Y	0.044995368	Y	N	N	N	N	Y	After	Y	0
UG62	18	F	Uganda	17	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG62	18	F	Uganda	17	Y	Mother	experimental	Y	0.040720363	N	Y	N	N	N	Y	Before	Y	0
UG63	18	M	Uganda	18	NA	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG63	18	M	Uganda	18	Y	Mother	experimental	Y	0.1144	Y	N	N	N	N	Y	After	Y	0
UG64	18	M	Uganda	17	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG64	18	M	Uganda	17	Y	Mother	experimental	Y	0.038823529	Y	N	N	N	N	Y	Before	N	0
UG66	18	F	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG66	18	F	Uganda	18	Y	Mother	experimental	Y	0.64627907	Y	N	N	N	N	Y	After	N	0.111553282
